rational,denominator,classification,period,transient
13/58,58,PERIODIC,28,0
7/29,58,PERIODIC,28,0
15/58,58,PERIODIC,28,0
8/29,58,PERIODIC,28,0
17/58,58,PERIODIC,28,0
9/29,58,PERIODIC,28,0
19/58,58,PERIODIC,28,0
10/29,58,PERIODIC,28,0
21/58,58,PERIODIC,28,0
11/29,58,PERIODIC,28,0
23/58,58,PERIODIC,28,0
12/29,58,PERIODIC,28,0
25/58,58,PERIODIC,28,0
13/29,58,PERIODIC,28,0
27/58,58,PERIODIC,28,0
14/29,58,PERIODIC,28,0
1/2,58,REACHES_ONE,0,1
15/29,58,PERIODIC,28,0
31/58,58,PERIODIC,28,0
16/29,58,PERIODIC,28,0
33/58,58,PERIODIC,28,0
17/29,58,PERIODIC,28,0
35/58,58,PERIODIC,28,0
18/29,58,PERIODIC,28,0
37/58,58,PERIODIC,28,0
19/29,58,PERIODIC,28,0
39/58,58,PERIODIC,28,0
20/29,58,PERIODIC,28,0
41/58,58,PERIODIC,28,0
21/29,58,PERIODIC,28,0
43/58,58,PERIODIC,28,0
22/29,58,PERIODIC,28,0
45/58,58,PERIODIC,28,0
23/29,58,PERIODIC,28,0
47/58,58,PERIODIC,28,0
24/29,58,PERIODIC,28,0
49/58,58,PERIODIC,28,0
25/29,58,PERIODIC,28,0
51/58,58,PERIODIC,28,0
26/29,58,PERIODIC,28,0
53/58,58,PERIODIC,28,0
27/29,58,PERIODIC,28,0
55/58,58,PERIODIC,28,0
28/29,58,PERIODIC,28,0
57/58,58,PERIODIC,28,0
1/59,59,PERIODIC,58,0
2/59,59,PERIODIC,58,0
3/59,59,PERIODIC,58,0
4/59,59,PERIODIC,58,0
5/59,59,PERIODIC,58,0
6/59,59,PERIODIC,58,0
7/59,59,PERIODIC,58,0
8/59,59,PERIODIC,58,0
9/59,59,PERIODIC,58,0
10/59,59,PERIODIC,58,0
11/59,59,PERIODIC,58,0
12/59,59,PERIODIC,58,0
13/59,59,PERIODIC,58,0
14/59,59,PERIODIC,58,0
15/59,59,PERIODIC,58,0
16/59,59,PERIODIC,58,0
17/59,59,PERIODIC,58,0
18/59,59,PERIODIC,58,0
19/59,59,PERIODIC,58,0
20/59,59,PERIODIC,58,0
21/59,59,PERIODIC,58,0
22/59,59,PERIODIC,58,0
23/59,59,PERIODIC,58,0
24/59,59,PERIODIC,58,0
25/59,59,PERIODIC,58,0
26/59,59,PERIODIC,58,0
27/59,59,PERIODIC,58,0
28/59,59,PERIODIC,58,0
29/59,59,PERIODIC,58,0
30/59,59,PERIODIC,58,0
31/59,59,PERIODIC,58,0
32/59,59,PERIODIC,58,0
33/59,59,PERIODIC,58,0
34/59,59,PERIODIC,58,0
35/59,59,PERIODIC,58,0
36/59,59,PERIODIC,58,0
37/59,59,PERIODIC,58,0
38/59,59,PERIODIC,58,0
39/59,59,PERIODIC,58,0
40/59,59,PERIODIC,58,0
41/59,59,PERIODIC,58,0
42/59,59,PERIODIC,58,0
43/59,59,PERIODIC,58,0
44/59,59,PERIODIC,58,0
45/59,59,PERIODIC,58,0
46/59,59,PERIODIC,58,0
47/59,59,PERIODIC,58,0
48/59,59,PERIODIC,58,0
49/59,59,PERIODIC,58,0
50/59,59,PERIODIC,58,0
51/59,59,PERIODIC,58,0
52/59,59,PERIODIC,58,0
53/59,59,PERIODIC,58,0
54/59,59,PERIODIC,58,0
55/59,59,PERIODIC,58,0
56/59,59,PERIODIC,58,0
57/59,59,PERIODIC,58,0
58/59,59,PERIODIC,58,0
1/60,60,PERIODIC,4,1
1/30,60,PERIODIC,4,0
1/20,60,PERIODIC,4,1
1/15,60,PERIODIC,4,0
1/12,60,PERIODIC,2,1
1/10,60,PERIODIC,4,0
7/60,60,PERIODIC,4,1
2/15,60,PERIODIC,4,0
3/20,60,PERIODIC,4,1
1/6,60,PERIODIC,2,0
11/60,60,PERIODIC,4,1
1/5,60,PERIODIC,4,0
13/60,60,PERIODIC,4,1
7/30,60,PERIODIC,4,0
1/4,60,REACHES_ONE,0,2
4/15,60,PERIODIC,4,0
17/60,60,PERIODIC,4,1
3/10,60,PERIODIC,4,0
19/60,60,PERIODIC,4,1
1/3,60,PERIODIC,2,0
7/20,60,PERIODIC,4,1
11/30,60,PERIODIC,4,0
23/60,60,PERIODIC,4,1
2/5,60,PERIODIC,4,0
5/12,60,PERIODIC,2,1
13/30,60,PERIODIC,4,0
9/20,60,PERIODIC,4,1
7/15,60,PERIODIC,4,0
29/60,60,PERIODIC,4,1
1/2,60,REACHES_ONE,0,1
31/60,60,PERIODIC,4,1
8/15,60,PERIODIC,4,0
11/20,60,PERIODIC,4,1
17/30,60,PERIODIC,4,0
7/12,60,PERIODIC,2,1
3/5,60,PERIODIC,4,0
37/60,60,PERIODIC,4,1
19/30,60,PERIODIC,4,0
13/20,60,PERIODIC,4,1
2/3,60,PERIODIC,2,0
41/60,60,PERIODIC,4,1
7/10,60,PERIODIC,4,0
43/60,60,PERIODIC,4,1
11/15,60,PERIODIC,4,0
3/4,60,REACHES_ONE,0,2
23/30,60,PERIODIC,4,0
47/60,60,PERIODIC,4,1
4/5,60,PERIODIC,4,0
49/60,60,PERIODIC,4,1
5/6,60,PERIODIC,2,0
17/20,60,PERIODIC,4,1
13/15,60,PERIODIC,4,0
53/60,60,PERIODIC,4,1
9/10,60,PERIODIC,4,0
11/12,60,PERIODIC,2,1
14/15,60,PERIODIC,4,0
19/20,60,PERIODIC,4,1
29/30,60,PERIODIC,4,0
59/60,60,PERIODIC,4,1
